Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiCustomGameOptions,,XUi,Game Settings,KeyTrunk,Custom Options,,,,,
goCustomIntValue,,UI,Menu,KgNone,Example Integer,,,,,
goCustomIntValueDesc,,UI,Menu,KgNone,Example Integer description,,,,,
goCustomIntInput,,UI,Menu,KgNone,Example Integer Input,,,,,
goCustomIntInputDesc,,UI,Menu,KgNone,Example Integer Input description,,,,,
goCustomBool,,UI,Menu,KgNone,Example Bool,,,,,
goCustomBoolDesc,,UI,Menu,KgNone,Example Bool description,,,,,
goCustomBoolDefaulted,,UI,Menu,KgNone,Example Bool Defaulted,,,,,
goCustomBoolDefaultedDesc,,UI,Menu,KgNone,Example Bool Defaulted description,,,,,
goCustomStringValue,,UI,Menu,KgNone,Example String,,,,,
goCustomStringValueDesc,,UI,Menu,KgNone,Example String description,,,,,
goCustomStringInput,,UI,Menu,KgNone,Example String Input,,,,,
goCustomStringInputDesc,,UI,Menu,KgNone,Example String Input description,,,,,		
